codigo;empresas;caminhos
4;ISA CARITA BRAND - COMERCIO DE ROUPAS LTDA;18.711.519/0001-43;C:\Troca de arquivos Unico\TI\Gabriel
31;GC MANUTENCAO DE VEICULOS EIRELI;C:\Troca de arquivos Unico\TI\Gabriel
81;JYR COMERCIO DE ALIMENTOS LTDA;C:\Troca de arquivos Unico\TI\Gabriel
92;JULIA RIOS PELAES;C:\Troca de arquivos Unico\TI\Gabriel
95;AMPLIAZI COBERTURAS LTDA;C:\Troca de arquivos Unico\TI\Gabriel
121;MERCADO E ACOUGUE RTN LTDA;C:\Troca de arquivos Unico\TI\Gabriel
152;MERCADO DF SANTO ANTONIO LTDA;C:\Troca de arquivos Unico\TI\Gabriel
157;CC TREINAMENTO E PRODUCAO DE FILMES E VIDEOS DE ANIMAIS LTDA;C:\Troca de arquivos Unico\TI\Gabriel
169;TERRA SANTA ALIMENTOS LTDA;C:\Troca de arquivos Unico\TI\Gabriel
182;W.G.L. AR CONDICIONADO AUTOMOTORES LTDA;C:\Troca de arquivos Unico\TI\Gabriel
189;CONFESPAN COMERCIO E DISTRIBUICAO LTDA;C:\Troca de arquivos Unico\TI\Gabriel
199;LIBERO QUIMICOS E INGREDIENTES LTDA;C:\Troca de arquivos Unico\TI\Gabriel
222;CIME INSTALADORA LTDA;C:\Troca de arquivos Unico\TI\Gabriel
254;LA BICI COMERCIO IMPORTACAO E EXPORTACAO DE BICICLETAS LTDA;C:\Troca de arquivos Unico\TI\Gabriel
270;MINIMERCADO ALVAG LTDA;C:\Troca de arquivos Unico\TI\Gabriel
297;CLOUD TARGET INFORMATICA S.A;C:\Troca de arquivos Unico\TI\Gabriel
319;STAGNUM CONSTRUCAO E COMERCIO EIRELI;C:\Troca de arquivos Unico\TI\Gabriel
348;SCPH - SLAVIERO EMPREENDIMENTOS HOTELEIROS LTDA;C:\Troca de arquivos Unico\TI\Gabriel
353;SPOKES COMERCIO, IMPORTACAO E EXPORTACAO DE BICICLETAS LTDA;C:\Troca de arquivos Unico\TI\Gabriel
361;NA FERNANDES OPTICA;C:\Troca de arquivos Unico\TI\Gabriel
363;TORRES COMERCIO DE CALCADOS - EIRELI;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\363\Entrada\2024\Maio
368;NUTRIPRO COMERCIO VAREJISTA DE ALIMENTOS LTDA;C:\Troca de arquivos Unico\TI\Gabriel
376;SLCA - K. MARTINS EMPREENDIMENTOS E INVESTIMENTOS LTDA;C:\Troca de arquivos Unico\TI\Gabriel
377;SCBC - BRUT HOTEL LTDA;C:\Troca de arquivos Unico\TI\Gabriel
380;H. C. Martins;C:\Troca de arquivos Unico\TI\Gabriel
391;SECA - HOTEL ESSENTIAL AEROPORTO AFONSO PENA LTDA;C:\Troca de arquivos Unico\TI\Gabriel
401;PAULA TORRES COMERCIO DE CALCADOS LTDA;C:\Troca de arquivos Unico\TI\Gabriel
405;SEBL - DIOGO GUARIENTI DE OLIVEIRA;C:\Troca de arquivos Unico\TI\Gabriel
406;HOTEL REX S A;C:\Troca de arquivos Unico\TI\Gabriel
410;JCG CAFE E RESTAURANTE LTDA;C:\Troca de arquivos Unico\TI\Gabriel
423;HOTEL SLIM GUARAPUAVA LTDA;C:\Troca de arquivos Unico\TI\Gabriel
426;WINE DOMAIN COMERCIO DE BEBIDAS EIRELI;C:\Troca de arquivos Unico\TI\Gabriel
431;A&M COMERCIO OPTICO EIRELI;C:\Troca de arquivos Unico\TI\Gabriel
435;JARDINS COMERCIO DE VINHOS LTDA;C:\Troca de arquivos Unico\TI\Gabriel
440;LMA CAFE CHOCOLATES FINOS EIRELI;C:\Troca de arquivos Unico\TI\Gabriel
452;SLCA - A. SERVICOS ALIMENTICIOS EIRELI;C:\Troca de arquivos Unico\TI\Gabriel
454;HOTEL SLAVIERO ESSENTIAL CHAPECO LTDA;C:\Troca de arquivos Unico\TI\Gabriel
459;HOTEL SLIM BENTO GONCALVES LTDA;C:\Troca de arquivos Unico\TI\Gabriel
466;VINERIA SAO PAULO COMERCIO DE BEBIDAS E ALIMENTOS EIRELI;C:\Troca de arquivos Unico\TI\Gabriel
467;MINI MERCADO AGUIA PENHA LTDA;C:\Troca de arquivos Unico\TI\Gabriel
468;J D L ADEGA EIRELI;C:\Troca de arquivos Unico\TI\Gabriel
494;LDF CHOCOLATES FINOS LTDA;C:\Troca de arquivos Unico\TI\Gabriel
506;NA FERNANDES OPTICA;C:\Troca de arquivos Unico\TI\Gabriel
508;A&M COMERCIO OPTICO EIRELI;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\508\Saida\2024\Maio
513;SLAVIERO EMPREENDIMENTOS HOTELEIROS LTDA;C:\Troca de arquivos Unico\TI\Gabriel
514;SBNF - SLAVIERO EMPREENDIMENTOS HOTELEIROS LTDA;C:\Troca de arquivos Unico\TI\Gabriel
515;Slaviero Empreendimentos Hoteleiros Ltda;C:\Troca de arquivos Unico\TI\Gabriel
519;Slaviero Empreendimentos Hoteleiros Ltda;C:\Troca de arquivos Unico\TI\Gabriel
520;SLSC - SLAVIERO EMPREENDIMENTOS HOTELEIROS LTDA;C:\Troca de arquivos Unico\TI\Gabriel
523;Slaviero Empreendimentos Hoteleiros Ltda;C:\Troca de arquivos Unico\TI\Gabriel
524;Slaviero Empreendimentos Hoteleiros Ltda;C:\Troca de arquivos Unico\TI\Gabriel
526;Slaviero Empreendimentos Hoteleiros Ltda;C:\Troca de arquivos Unico\TI\Gabriel
527;SCRF - SLAVIERO EMPREENDIMENTOS HOTELEIROS LTDA;C:\Troca de arquivos Unico\TI\Gabriel
533;SCPH - SLAVIERO SERVICOS DE RESTAURANTE E HOTELARIA LTDA;C:\Troca de arquivos Unico\TI\Gabriel
549;PAULA TORRES COMERCIO DE CALCADOS LTDA;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\549\Saida\2024\Maio
550;LIBERO QUIMICOS E INGREDIENTES;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\550\Saida\2024\Maio
566;TORRES COMERCIO DE CALCADOS - EIRELI;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\566\Saida\2024\Maio
567;Torres Comercio de Calcados - Eireli;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\567\Saida\2024\Maio
568;TORRES COMERCIO DE CALCADOS - EIRELI;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\568\Saida\2024\Maio
569;TORRES COMERCIO DE CALCADOS - EIRELI;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\569\Saida\2024\Maio
570;TORRES COMERCIO DE CALCADOS - EIRELI;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\570\Saida\2024\Maio
571;TORRES COMERCIO DE CALCADOS - EIRELI;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\571\Saida\2024\Maio
574;CONFESPAN COMERCIO E DISTRIBUICAO LTDA;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\574\Saida\2024\Maio
610;BT PECAS PARA CAMINHOES LTDA;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\610\Saida\2024\Maio
